locus,feature,variant_flag,ms_list,total_count
corpus,c for h,0,"83,88",2
corpus,c for j,1,"15,60,83",5
corpus,c for m,0,60,1
corpus,c for s,0,15,1
corpus,c for t,1,"400,6,88",5
corpus,c for ą,0,60,1
corpus,c for ŋ,0,60,1
corpus,c inserted,0,"15,400,410,5,510,6,60,83,88",19
corpus,d deleted,0,"400,510,6,88",9
corpus,d for aē,0,410,1
corpus,d for g,0,83,1
corpus,d for h,1,"410,60,83",4
corpus,d for i,0,5,1
corpus,d for m,1,"83,88",6
corpus,d for p,0,83,1
corpus,d for s,0,83,1
corpus,d for u,0,83,3
corpus,d for δ,0,"15,400,410,510,6,60,83,88",51
corpus,d for ϑ,0,88,1
corpus,d for ẏ,0,410,1
corpus,d inserted,0,"400,410,510,60,83,88",16
corpus,e deleted,0,"400,410,5,510,6,60,83,88",41
corpus,e for a,0,"15,400,410,5,510,6,60,83,88",68
corpus,e for ai,0,"15,5,510,6,60,83",11
corpus,e for aē,0,400,1
corpus,e for i,0,"15,400,410,5,510,6,60,83,88",230
corpus,e for o,0,410,1
corpus,e for ē,0,"15,400,410,5,510,6,60,83,88",63
corpus,e for ī,0,"15,5,6",13
corpus,e for ō,0,6,1
corpus,e for ū,0,60,1
corpus,e for ə,0,"15,400,410,5,510,6,83,88",16
corpus,e for ə̄,0,6,1
corpus,e inserted,0,"40,400,410,5,510,6,60,83,88",125
corpus,f deleted,0,6,1
corpus,f for h,0,6,1
corpus,f for p,0,"15,6,60,88",12
corpus,f for ẏ,0,510,1
corpus,f inserted,0,88,2
corpus,g deleted,0,"5,510,60,88",4
corpus,g for a,0,410,1
corpus,g for d,0,"410,60",2
corpus,g for o,0,410,1
corpus,g for p,0,88,2
corpus,g for γ,0,"400,410",2
corpus,g inserted,0,"400,410,5,510,6",11
corpus,h deleted,0,"15,400,410,5,510,6,60,83,88",144
corpus,h for a,0,15,1
corpus,h for ai,0,5,1
corpus,h for au,0,5,1
corpus,h for g,0,60,1
corpus,h for i,0,"6,88",2
corpus,h for m,0,410,1
corpus,h for v,0,88,2
corpus,h for δ,0,88,1
corpus,h inserted,0,"15,400,410,5,510,6,60,83,88",53
corpus,i deleted,0,"15,40,400,410,5,510,6,60,83,88",431
corpus,i for a,0,"15,400,410,5,510,6,60,83,88",208
corpus,i for ai,0,"410,5,60,83,88",7
corpus,i for au,0,"15,400,410,5,6,60,88",35
corpus,i for aē,0,"15,400,410,6",11
corpus,i for c,0,83,1
corpus,i for e,0,"15,40,400,410,5,510,6,60,83,88",281
corpus,i for h,0,400,2
corpus,i for ii,0,"15,400,410,5,510,6,60,83,88",55
corpus,i for m,1,"410,83",3
corpus,i for n,0,"60,83",4
corpus,i for o,1,"400,410",4
corpus,i for r,1,"400,5",3
corpus,i for u,0,"15,5,6",6
corpus,i for y,0,60,9
corpus,i for ā,0,5,1
corpus,i for ą,0,83,1
corpus,i for ą̇,0,410,1
corpus,i for ē,0,"15,410,5,6,60,88",14
corpus,i for ī,0,"15,410,5,510,6,60,83",13
corpus,i for ń,0,510,1
corpus,i for ŋ,0,"410,88",2
corpus,i for ō,0,"410,6",2
corpus,i for ū,0,510,1
corpus,i for ə,0,"15,40,400,410,5,510,6,60,83,88",511
corpus,i for ə̄,0,"15,400,5,6,60",7
corpus,i for ̊,0,"400,410",2
corpus,i for ϑ,0,83,1
corpus,i for ạ,0,88,1
corpus,i for ị,0,60,1
corpus,i inserted,0,"15,40,400,410,5,510,6,60,83,88",437
corpus,ii deleted,0,"15,400,410,5,6,60,83,88",22
corpus,ii for a,0,"400,510",3
corpus,ii for ai,0,"15,40,400,410,5,510,6,60,83,88",206
corpus,ii for e,0,15,1
corpus,ii for i,0,"15,400,410,5,510,6,60,83,88",31
corpus,ii for m,0,"400,410",3
corpus,ii for n,0,"400,410",2
corpus,ii for uu,0,5,2
corpus,ii for y,0,60,1
corpus,ii for āi,0,"410,510",3
corpus,ii for ōi,0,88,1
corpus,ii for š,0,410,1
corpus,ii inserted,0,"15,400,410,5,510,6,60,88",23
corpus,j for a,0,83,1
