feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,final_raw,variant_likelihood,label
aō for a,1232.0,7.0,0.7,1.6522495287091732,0.4973766684631374,0.7271103896103897,0.22314355131420976,0.0969100130080564,0.5656582664695902,1.0,0.5656582664695902,0.5972331221450221,reading
aō for ai,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aō for au,7.0,3.0,0.3,1.4488156357251847,0.4361369645402605,0.7571428571428571,0.9162907318741551,0.3979400086720376,0.46301095672158504,1.0,0.46301095672158504,0.4447430549988815,reading
aō for d,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aō for m,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aō for o,17.0,3.0,0.3,1.548565226030918,0.46616458327747934,0.7352941176470589,0.9162907318741551,0.3979400086720376,0.4650556765319402,1.0,0.4650556765319402,0.4477746926410346,reading
aō for u,5.0,4.0,0.4,1.9219280948873623,0.5785580060704263,0.6599999999999999,0.6931471805599453,0.30102999566398114,0.4947940008672037,1.0,0.4947940008672037,0.4921916361673134,reading
aō for ā,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
aō for āi,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
aō for āu,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
aō for ą,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
aō for ō,85.0,8.0,0.8,2.6676471928877774,0.8030418229080393,0.49294117647058827,0.10536051565782635,0.04575749056067514,0.6108593734287582,1.0,0.6108593734287582,0.6604177134301946,variant
aō for ōi,62.0,8.0,0.8,2.919113141630534,0.8787406163677102,0.33870967741935487,0.10536051565782635,0.04575749056067514,0.5912261970308675,1.0,0.5912261970308675,0.6335222199975985,variant
aō for ū,3.0,2.0,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.5228787452803376,0.42587379286130267,1.0,0.42587379286130267,0.3906079991485678,reading
aō inserted,1.0,1.0,0.1,-0.0,-0.0,0.9,1.6094379124341003,0.6989700043360187,0.36484550065040283,1.0,0.36484550065040283,0.30769299363518715,reading
