app_id,stanza,lemma,app_relevance,mean_variant_likelihood,variant_rdgs,reading_rdgs
app-Y1.1-20-20,Y1.1,ńiuuaēδaiiemi. haṇkāraiiemi. daϑušō. ahurahe. mazdā̊. raēuuatō. xᵛarənaŋᵛhatō. mazištaheca. vahištaheca. sraēštaheca. xraōždištaheca. xraϑβištaheca. hukərəptəmaheca. aṣ̌āt̰. apanō.təmaheca.,meaningful,0.7390246646116266,72,0
app-Y1.1-24-24,Y1.1,huδāmanō. vouru.rafnaŋhō. yō. nō. daδa. yō. tataša. yō. tuϑruiiē. yō. maińiiuš. spəṇtō.təmō.,meaningful,0.7390246646116266,72,0
app-Y1.1-31-32,Y1.1,huδāmanō. vouru.rafnaŋhō. yō. nō. daδa. yō. tataša. yō. tuϑruiiē. yō. maińiiuš. spəṇtō.təmō.,meaningful,0.7390246646116266,72,0
app-Y1.10-3-3,Y1.10,aēibiiō. ratubiiō. yōi. həṇti. aṣ̌ahe. ratauuō. ϑraiiasca. ϑrisąsca. nazdišta. pairiš.hāuuanaiiō. yōi. həṇti. aṣ̌ahe. yat̰. vahištahe.,meaningful,0.7390246646116266,72,0
app-Y1.10-12-12,Y1.10,aēibiiō. ratubiiō. yōi. həṇti. aṣ̌ahe. ratauuō. ϑraiiasca. ϑrisąsca. nazdišta. pairiš.hāuuanaiiō. yōi. həṇti. aṣ̌ahe. yat̰. vahištahe.,meaningful,0.7390246646116266,72,0
app-Y1.10-18-18,Y1.10,mazdō.frasāsta. zaraϑuštrō.fraōxta.,meaningful,0.7390246646116266,72,0
app-Y1.11-1-1,Y1.11,haṇkāraiiemi.,meaningful,0.7389820822089112,73,0
app-Y1.11-4-5,Y1.11,bərəzaṇbiia. aiϑiiejaŋhaēibiia. aṣ̌auuanaēibiia. stārąmca. spəṇtō.maińiiauuanąm. dāmanąm. tištriieheca. stārō. raēuuatō. xᵛarənaŋᵛhatō. mā̊ŋhaheca. gaōciϑrahe. huuarəca. xšaētahe. auruuat̰.aspahe. dōiϑrahe. ahurahe. mazdā̊. miϑrahe. dax́iiunąm. daiŋ́hu.patōiš.,meaningful,0.7390246646116266,72,0
app-Y1.11-10-10,Y1.11,bərəzaṇbiia. aiϑiiejaŋhaēibiia. aṣ̌auuanaēibiia. stārąmca. spəṇtō.maińiiauuanąm. dāmanąm. tištriieheca. stārō. raēuuatō. xᵛarənaŋᵛhatō. mā̊ŋhaheca. gaōciϑrahe. huuarəca. xšaētahe. auruuat̰.aspahe. dōiϑrahe. ahurahe. mazdā̊. miϑrahe. dax́iiunąm. daiŋ́hu.patōiš.,meaningful,0.7390246646116266,72,0
app-Y1.11-13-13,Y1.11,bərəzaṇbiia. aiϑiiejaŋhaēibiia. aṣ̌auuanaēibiia. stārąmca. spəṇtō.maińiiauuanąm. dāmanąm. tištriieheca. stārō. raēuuatō. xᵛarənaŋᵛhatō. mā̊ŋhaheca. gaōciϑrahe. huuarəca. xšaētahe. auruuat̰.aspahe. dōiϑrahe. ahurahe. mazdā̊. miϑrahe. dax́iiunąm. daiŋ́hu.patōiš.,meaningful,0.7390246646116266,72,0
app-Y1.11-16-16,Y1.11,bərəzaṇbiia. aiϑiiejaŋhaēibiia. aṣ̌auuanaēibiia. stārąmca. spəṇtō.maińiiauuanąm. dāmanąm. tištriieheca. stārō. raēuuatō. xᵛarənaŋᵛhatō. mā̊ŋhaheca. gaōciϑrahe. huuarəca. xšaētahe. auruuat̰.aspahe. dōiϑrahe. ahurahe. mazdā̊. miϑrahe. dax́iiunąm. daiŋ́hu.patōiš.,meaningful,0.7390246646116266,72,0
app-Y1.11-24-24,Y1.11,bərəzaṇbiia. aiϑiiejaŋhaēibiia. aṣ̌auuanaēibiia. stārąmca. spəṇtō.maińiiauuanąm. dāmanąm. tištriieheca. stārō. raēuuatō. xᵛarənaŋᵛhatō. mā̊ŋhaheca. gaōciϑrahe. huuarəca. xšaētahe. auruuat̰.aspahe. dōiϑrahe. ahurahe. mazdā̊. miϑrahe. dax́iiunąm. daiŋ́hu.patōiš.,meaningful,0.7358346111597586,72,1
